BAIRRO,LATITUDE,LONGITUDE
Abílio Pedro,-22.556228763726693,-47.451160396731794
Adélia Cavicchia,-22.588414300737305,-47.41575640439432
Aeroporto,-22.606881537347004,-47.414190449993015
Agostinho,-22.571300778338163,-47.426075680681514
Águas da Serra,-22.572876573735762,-47.454482545452045
Alto Capela,-22.574133616926456,-47.42339082329623
Alto da Graminha,-22.568518117810697,-47.452785784659255
Alto do Flamboyant,-22.601015778775313,-47.410601487713826
Alto dos Laranjais,-22.592282756347412,-47.37147867905546
Alvorada,-22.574751794129178,-47.38163853252781
Anavec,-22.54284737273322,-47.39824395592847
Jardim Anhanguera,-22.584498061164048,-47.37175422301112
Vila Anita,-22.556427545092433,-47.41068337400212
Antonieta,-22.558266177606267,-47.43678931136301
Antônio Brigato,-22.573004183635895,-47.37138063161661
Antônio Simonetti,-22.593293927409036,-47.43216063814894
Jardim Aquárius,-22.55033649663056,-47.41618005795547
Jardim Arruda,-22.59191341666129,-47.42869894204451
Attuale,-22.592696673897663,-47.39701394025009
Jardim Parque Avenida,-22.57567500217262,-47.42391583963076
Jardim Bandeirantes,-22.557613122344332,-47.39233582602219
Barão de Limeira,-22.57845166477247,-47.37857067187069
Bartolomeu Grotta,-22.595499949304006,-47.41332795617701
Jardim Bela Vista,-22.549890159809763,-47.40154167334744
Belinha Ometto,-22.55261810042536,-47.450211829541075
Jardim Boa esperança,-22.561023726157003,-47.37209287727398
Boa Vista,-22.560802461767775,-47.38987704630737
Bragotto,-22.556108380785652,-47.408066856815054
Jardim Brasil,-22.549822176474112,-47.41292132272601
Vila Busch,-22.58049214203368,-47.39612655525384
Jardim Caieira,-22.56277802557239,-47.44148794289984
Vila Camargo,-22.56828576893413,-47.39312419232962
Campo Belo,-22.596716976977657,-47.38631371705139
Campo Novo,-22.598789423260815,-47.37096682690522
Campo Verde,-22.605823709568813,-47.391598437124905
Campos Elíseos,-22.53562899671687,-47.392166545063574
Canaã,-22.55111957512631,-47.38665090738527
Castelar,-22.551811270003096,-47.41086194232963
Cavinato,-22.572976560372396,-47.38950592415155
Celina,-22.55706374577619,-47.370011315390656
Centreville,-22.55072998644773,-47.42129991505564
Centro,-22.56551184330801,-47.4033402863699
Cidade Jardim,-22.571584222883843,-47.39842966107791
Cidade Universitária,-22.552964750657722,-47.43436418286103
Vila Cláudia,-22.578698767560233,-47.40145291903339
Colina Verde,-22.582947261189126,-47.43436670915959
Colinas de São João,-22.59377584516929,-47.387979654004276
Colinas do Engenho,-22.571660604473713,-47.47278348408902
Jardim Colonial,-22.57419264716289,-47.437865868748275
Vila Conceição,-22.581256340642014,-47.390461892614724
Jardim Consoli,-22.579139944269194,-47.389421026703765
Costa Verde,-22.614806428873283,-47.427150988016884
Vila Cristovam,-22.578280728770505,-47.40585580767037
João Batista Levy,-22.567539174288985,-47.39563166998774
José Luis Blumer,-22.59704856086534,-47.39616543803368
Olindo de Lucca,-22.583823516685026,-47.36955046377955
Duas Barras,-22.602794405982383,-47.37661888930444
Egistro Ragazzo,-22.537060989996817,-47.38846013408904
Jardim Elite,-22.569048034662995,-47.42826787299737
Eliza Fumagalli,-22.547261462717305,-47.389022422227406
Ernesto Kuhl,-22.610895331011857,-47.40879094883312
Jardim Esmeralda,-22.564376063423527,-47.435057657385265
Parque Hipólito,-22.566917697139285,-47.370280603692635
Fascina,-22.556571020456573,-47.40392364748294
Fênix,-22.59709537783451,-47.41568010316376
Vila Flor,-22.570949734647414,-47.41941129140639
Residencial Flora,-22.57713992566365,-47.419847355926755
Florença,-22.578175767876793,-47.41665800413045
Parque das Flores,-22.587748208917514,-47.39720274535533
Florisa,-22.574563326137383,-47.46893985176973
Girassóis,-22.566708312469732,-47.42248088066547
Gleba Beatriz,-22.573422600749556,-47.37853701192022
Jardim Glória,-22.586009577004468,-47.37944583494435
Graminha,-22.593384995149037,-47.42848061023546
Granja Machado,-22.545235403257564,-47.38168714602225
Grêmio,-22.55423755747252,-47.388127627766615
Greville,-22.581284544266065,-47.43053480332428
Guimarães,-22.59651780733891,-47.42515912738538
Gustavo Picinini,-22.601353470371585,-47.40157321948024
Hipolyto,-22.57018174957777,-47.37733890710017
Hortência,-22.544558701456964,-47.38939479579071
Ibirapuera,-22.60098347185208,-47.410237507670374
Ilha de Bali,-22.579241878815026,-47.449797272425435
Independência,-22.58490613070608,-47.3883419673698
Interlagos,-22.620320348141618,-47.42803401914893
Ipanema,-22.597827844359717,-47.424820580131964
Ipês,-22.540554227672143,-47.41408736684834
Ipiranga,-22.586904068126675,-47.39856020881823
Itamaracá,-22.61538595538233,-47.422224165530444
Itapema,-22.526226317937596,-47.39026239417274
Jequitibas,-22.598303874479033,-47.43734005290189
João Ometto,-22.574505800000008,-47.36762253644538
José Cortez,-22.596273637132317,-47.37610609256818
Labaki,-22.561438854427934,-47.381744767999955
Jardim do Lago,-22.607037034103175,-47.420306625697535
Lagoa Nova,-22.65465310725196,-47.41226704603577
Laranjeiras,-22.542266652696526,-47.41821165681505
Las Palmas,-22.608776583460227,-47.413796700226136
Liberty,-22.59584633679188,-47.416147911041
Limeiranea,-22.570117444294446,-47.43062639262584
London,-22.60061631371153,-47.42028332522499
Los Alpes,-22.588667390199777,-47.430360092044516
Manacá,-22.603682094409827,-47.427727448569094
Manoel Francisco,-22.5819106640249,-47.378124981604664
Manoel Simão Levy,-22.612542082108863,-47.41542511102125
Marajoara,-22.603288691723336,-47.38528035883945
Maria Buchi Modeneis,-22.574618302651395,-47.41917292452242
Maria Flora,-22.58374912205414,-47.39889030658026
Maria Helena,-22.58133168979807,-47.38130079055085
Mathias,-22.561217537987133,-47.410351640821084
Mediterrâneo,-22.575375209426806,-47.41189062650461
Mercedes,-22.568455075072226,-47.403871288207796
Monsenhor Rossi,-22.550050565139,-47.41999546916037
Monte Carlo,-22.56963772854008,-47.43544133892209
Montezuma,-22.577060985004373,-47.39406116903339
Morada das Acácias,-22.612536064351442,-47.42637114493074
Morro Azul,-22.558138063776088,-47.43124059516694
Morro Branco,-22.55659975708646,-47.441216984374144
Parque das Nações,-22.590979526229116,-47.40910066193323
Nereide,-22.554125538784113,-47.387100203977724
Nobreville,-22.58331781434985,-47.41001926757698
Nossa Senhora das Dores,-22.566538951323608,-47.44911629459672
Nossa Senhora de Fátima,-22.565829937713396,-47.426601278042675
Nossa Senhora do Amparo,-22.569275593535654,-47.420808696666406
Nova Conquista,-22.573035273181926,-47.36798382457234
Nova Europa,-22.581548545686633,-47.41525510582406
Nova Itália,-22.55905305629821,-47.422310253407524
Nova Limeira,-22.54499205603619,-47.37309708635612
Nova Suíça,-22.56851148953978,-47.38375632869951
Nova,-22.558083990929543,-47.36966581985347
Novo Bandeirantes,-22.56277526776445,-47.452285277112914
Novo Horizonte,-22.589399912551873,-47.37864896544661
Novo Mundo,-22.59313924496285,-47.39744446846316
Odécio Degan,-22.61382083800258,-47.415363156464224
Olga Veroni,-22.57867905223018,-47.369109352914364
Orestes Veroni,-22.570195705401918,-47.38841366524267
Ouro Branco,-22.591809796492225,-47.4213775259115
Ouro Verde,-22.58512277152568,-47.420426462503436
Paineiras,-22.59251983847227,-47.43272067969196
Palmeira Real,-22.62921752407231,-47.435344606852304
Palmeiras,-22.728088855725055,-47.362255632188436
Palmira,-22.58635261305517,-47.39860067353713
Paraíso,-22.560339309370303,-47.40825721004558
Paulista,-22.558475599854763,-47.42596266314149
Pérola,-22.56344433950144,-47.43839673079796
Piratininga,-22.55739443668186,-47.41518575681504
Piza,-22.56301045186502,-47.38301175196235
Planalto,-22.545761961096904,-47.39125627066196
Portal das Flores,-22.598210588352824,-47.38628943701304
Portal das Rosas,-22.575215458171257,-47.444834826988874
Portal de São Clemente,-22.581758902049568,-47.440824108475326
Porto Real,-22.554143183092872,-47.38173969616283
Prefeito Virginio Ometto,-22.581056814219643,-47.50121958707619
Presidente Dutra,-22.57584113713146,-47.37897274701324
Primavera,-22.59439999367834,-47.44164578040942
Queiroz,-22.5514014562064,-47.392647400285114
Ragazzo,-22.53658533346404,-47.38717267386645
Real Park,-22.56614675678965,-47.41075318455256
Recanto Alvorada,-22.601387197097036,-47.39387037123637
Recanto dos Pássaros,-22.615350788247124,-47.41574726813707
Recanto Verde,-22.60207510967848,-47.42736099099359
Regina Bastelli,-22.60695211181403,-47.405206904945395
Vila Rocha,-22.577729119721457,-47.41057553494436
Roland,-22.577795794021792,-47.424728532114486
Marrafon,-22.56929969567341,-47.41922611250344
Rosana,-22.54753576335781,-47.39825569730204
Roseira,-22.59428106964835,-47.42133194573715
Rossi,-22.564596325895053,-47.38578741519692
Rubi,-22.613584430352578,-47.4304040903413
Sabiás,-22.59299528607731,-47.38370738469931
San Marino,-22.5725586771322,-47.41117187228762
Santa Adélia,-22.572366117123785,-47.45249420154315
Santa Barbara,-22.587133296953525,-47.386638212531565
Santa Amália,-22.587024429752066,-47.434725901790294
Santa Catarina,-22.54810088433397,-47.39439292247336
Santa Cecília,-22.566554171695916, -47.41504969118918
Santa Clara,-22.62424200947217,-47.427223958209204
Santa Eulalia,-22.603067908013475,-47.40629119570241
Santa Fé,-22.56541019158286,-47.42280513171507
Santa Josefa,-22.56704304217691,-47.415304159221925
Santa Lina,-22.578455380425286, -47.40320325573585
Vila Santa Lucia,-22.569406737343563,-47.393628419115444
Santa Lúcia,-22.55663332131624,-47.41822963230101
Santa Luiza,-22.557945353207025,-47.41860568465924
Santa Rosália,-22.576277660297766,-47.40575911652108
Santana,-22.55341815056928,-47.410510161248546
Santina Paroli Peccinini,-22.598818160647898,-47.39426052059459
Santo André,-22.547178281599184,-47.41249415483307
São Bento,-22.55212574404713,-47.417835844950076
São Francisco,-22.55649796792715,-47.448509764827264
São Geraldo,-22.57994729038089,-47.395257519603604
Vila São João,-22.563574564564426,-47.41129908583372
Jardim São João,-22.594459309966126,-47.42194010344916
São José,-22.545369208149168,-47.404418170758404
São Lourenço,-22.613343539873107,-47.421758514470056
Jardim São Luiz,-22.580306368366216,-47.38341673993074
Vila São Luiz,-22.57522067350894,-47.396569199767306
São Manoel,-22.582734327379626,-47.40400913550601
São Martino,-22.58607867311457,-47.43929425684505
Jardim São Paulo,-22.562766485462554,-47.42853840085532
São Pedro,-22.57771456293593,-47.38620042386645
São Rafael,-22.54075658362262,-47.425181985226686
São Roque,-22.582199631718236,-47.392106736700796
São Simão,-22.562793447026092,-47.37970134573716
Senador Vergueiro,-22.59133126342803,-47.42739482889499
Vila Solar,-22.581871335593775,-47.3974675642527
Spazio Firenze,-22.558114379852316,-47.43483486869059
Sthalberg,-22.571690236441377,-47.42084851785735
Tancredo Neves,-22.57823157020353,-47.37164332297684
Teixeira Marques,-22.54779828543315,-47.398899932120514
Terras de Santa Elisa,-22.575235756143538,-47.426665430841474
Terras de São Bento,-22.544042643980443,-47.42801263155063
Jardim Vanessa,-22.54099816993894,-47.42399814815367
Victor D'Andrea,-22.594282489205245,-47.40174718351882
Victório Lucato,-22.591536202498983,-47.42474795795549
Vila do Sol,-22.591380773797066,-47.413585274553576
Village,-22.572847088329173,-47.45089759656463
Villagio San Pietro,-22.579937557808655,-47.42522626410259
Vista Alegre,-22.579319179070165,-47.37542856690197
Jardim Vitória,-22.59167488054674,-47.42478014446104